Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_thickness,reconstruction_deviation_84,0.005033951730518921,0.13851992409867173,0.07169341508930953,high_test,mrisdp_85,R G_cuneus,Cortical thickness in mm for right hemisphere cortical Destrieux ROI cuneus
cortical_thickness,reconstruction_deviation_86,0.0004821238217822658,0.06769637699428971,0.03383817447574563,inter_test,mrisdp_87,R G_front_inf-Orbital,Cortical thickness in mm for right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus
cortical_thickness,reconstruction_deviation_88,0.0016852217990737915,0.10727476192371828,0.0589079320426569,inter_test,mrisdp_89,R G_front_middle,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_thickness,reconstruction_deviation_88,0.013117930456640134,0.15579178885630499,0.08328681399245914,exter_test,mrisdp_89,R G_front_middle,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_thickness,reconstruction_deviation_88,0.015039126821083005,0.13886493013627738,0.07370846989822322,high_test,mrisdp_89,R G_front_middle,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_thickness,reconstruction_deviation_93,0.0023993601706211675,0.14457321184938918,0.07878479464299716,high_test,mrisdp_94,R G_occipital_sup,Cortical thickness in mm for right hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_thickness,reconstruction_deviation_94,0.0017471459596696789,0.09022792514253615,0.04876502877261891,inter_test,mrisdp_95,R G_oc-temp_lat-fusifor,Cortical thickness in mm for right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_thickness,reconstruction_deviation_94,0.05660871386677838,0.1688835358190197,0.1151264400921659,exter_test,mrisdp_95,R G_oc-temp_lat-fusifor,Cortical thickness in mm for right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_thickness,reconstruction_deviation_96,0.0003405828832773804,0.11192792027706638,0.05577703763662018,inter_test,mrisdp_97,R G_oc-temp_med-Parahip,Cortical thickness in mm for right hemisphere cortical Destrieux ROI parahippocampal gyrus
cortical_thickness,reconstruction_deviation_97,0.006598240469208211,0.12031315458734813,0.06293514348554671,exter_test,mrisdp_98,R G_orbital,Cortical thickness in mm for right hemisphere cortical Destrieux ROI orbital gyri
cortical_thickness,reconstruction_deviation_98,0.005533366064675363,0.10502779952495322,0.04810032598647399,inter_test,mrisdp_99,R G_pariet_inf-Angular,Cortical thickness in mm for right hemisphere cortical Destrieux ROI angular gyrus
cortical_thickness,reconstruction_deviation_98,0.018930666108085463,0.13544721407624633,0.071612012987013,exter_test,mrisdp_99,R G_pariet_inf-Angular,Cortical thickness in mm for right hemisphere cortical Destrieux ROI angular gyrus
cortical_thickness,reconstruction_deviation_103,0.00885002094679514,0.10905425219941349,0.058124266862170086,exter_test,mrisdp_104,R G_precuneus,Cortical thickness in mm for right hemisphere cortical Destrieux ROI precuneus
cortical_thickness,reconstruction_deviation_103,0.01594868819295247,0.12246146125739019,0.06539429485470541,high_test,mrisdp_104,R G_precuneus,Cortical thickness in mm for right hemisphere cortical Destrieux ROI precuneus
